,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,0.264004081,0.230397299,0.28281793,0.205061004,0.239417225,0.254480094,0.236537278,0.249086961,0.223514229,0.255525321,0.25173673,0.219231561,0.186996877,0.254156888,0.06667646,0.229491636,0.036722839,0.122717977,0.166552365,0.184886813,0.147561356,0.203971148,0.187315449,0.155688554,0,0,0.120913506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.256201565,0.249502316,0.147561193,0.232658178,0.215786338,0.190428779,0.17414175,0.19332929,0.194660589,0.162416726,0.184285805,0.203970894,0.172987327,0.201624289,0.815127552,0.099969752,0.084231064,0,0.245981678,0.189206764,0.064624257,0,0,0,0,0,0,0,0.278490037,0.099020034,0.259546638,0.147561252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.221303791,0.220160559,0.137704283,0.201624557,0.200094506,0.206308067,0.147561252,0.189207032,0.159753516,0.166552186,0.143390924,0.1762667,0.169141263,0.167849511,0.861323655,0.002524977,0.015316546,0,0.281558335,0.236188039,0.102138311,0.239417076,0,0,0,0,0,0,0.018318621,0.231528208,0.245026574,0.780860424,0.198348463,0.127345055,0.184886813,0.176791251,0.19213289,0.164088592,0.749802172,0.18304643,0.170428231,0.200447306,0.224723816,0.226996884,0.159657985,0.77302438,0.192132801,0.201624379,0.18244344,0.169141352,0.141983271,0.151895404,0.186102897,0.190933406,0.175527841
3,0.260661185,0.159657985,0,0,0,0,0,0,0,0,0,0.048694629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116339572,0.249502316,0.214421421,0.184285805,0.147561088,0.143390864,0.117958494,0.197694913,0.1872098,0.241663024,0.223585129,0.66873467,0.130363286,0.104473494,0.178749815,0.104411833,0.144789547,0.119531564,0.171247825,0.09140075,0.146179482,0.095287561,0.127344996,0.085290022,0.130363345,0.089403778,0.134801164
4,0.143543944,0.872899652,0.184701592,0.173766494,0.157403469,0.172987327,0.161087945,0.191698745,0.190428689,0.178749815,0.140566602,0.150003165,0.153008759,0.175421014,0.165057808,0.176695749,0.172987416,0.180449739,0.19332929,0.156842306,0.16524978,0.178050444,0.18121624,0.171432808,0.184261546,0.16130881,0.180913925,0,0.058976974,0.203970894,0.21326822,0.104473606,0.134801,0.097181976,0.100881793,0.143390924,0.147561088,0.850359559,0.166552365,0.147457078,0.137704179,0.144789547,0.21326822,0.207473382,0.106232427,0.10623239,0.756794214,0.131854117,0.134800881,0.11304906,0.111375786,0.074148521,0.122717977,0.124274328,0.122718103
5,0.169981495,0.151658237,0.162272722,0.140566498,0.148934633,0.163571343,0.140566602,0.173238233,0.15030019,0.124274202,0.128860503,0.146179482,0.128860623,0.130363405,0.146179423,0.157313958,0.150300309,0.833428323,0.160968319,0.139140368,0.124274261,0.140566662,0.139140368,0.163571239,0.157018185,0.168709904,0.151658177,0,0,0.19889617,0.179985121,0.116339572,0.099046141,0.102690533,0.140566602,0.148934633,0.162272722,0.224723816,0.221303701,0.790788889,0.114703491,0.09140075,0.127344996,0.093361348,0.099046141,0.064009458,0.11304906,0.087367766,0.131854236,0.052098025,0.083167478,0.058339752,0.104473531,0.064009689,0.122718103
6,0.140566841,0.16394189,0.797087073,0.18366684,0.184886813,0.207458362,0.167849511,0.209283799,0.19179903,0.167677566,0.164864168,0.171247929,0.137804165,0.206048667,0.184285536,0.181754947,0.169141352,0.184285626,0.189730763,0.162628159,0.134800881,0.163571447,0.168980002,0.187210038,0.175018966,0.16524978,0.176696002,0,0.196900815,0.130488828,0,0,0,0,0,0,0,0.025926439,0,0,0,0,0,0,0,0,0.025926139,0,0.041089658,0,0.036722764,0,0,0.025926439,0
7,0.147561312,0.160968423,0.166151419,0.162272722,0.162272722,0.166552365,0.154352084,0.187981889,0.791457593,0.131854236,0.131854236,0.133333236,0.124274328,0.144789547,0.167433292,0.16524978,0.172509611,0.159983292,0.13480106,0.153008863,0.140566662,0.140566498,0.1687098,0.172509611,0.164864168,0.155688658,0.134542838,0,0,0.219016075,0.21095638,0.184886724,0.144789547,0.141983435,0.174259901,0.167677566,0.158413023,0.202654257,0.192862958,0.167433187,0.167509243,0.189206854,0.175018877,0.192132801,0.20514071,0.240540594,0.192132801,0.179985031,0.161308721,0.171247929,0.162416726,0.143543944,0.188524872,0.162214845,0.18244344
8,0.150300413,0.1687098,0.175421014,0.169981301,0.1268875,0.148850948,0.159451887,0.176791161,0.162022546,0.146179482,0.11470329,0.18304643,0.140566602,0.159657985,0.161087945,0.167849511,0.824607909,0.162214845,0.19332929,0.20514071,0.175018966,0.151382685,0.175527751,0.17874971,0.194075301,0.159753427,0.176607862,0,0,0.198085681,0.188524872,0.196900815,0.154352143,0.097182132,0.0717365,0.091400832,0.083167478,0.093361229,0.083167478,0.111375719,0.102690421,0.102690421,0.113049127,0.080996484,0.100881793,0.855820954,0.104473606,0.809733808,0.097181976,0.093361147,0.091400713,0.048694652,0.099046141,0.076492004,0.114703491
9,0.241663024,0.18121624,0,0.031778146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025926288,0,0,0,0,0,0,0.03177806,0,0,0.130363524,0.21557264,0.215572551,0.206308246,0.194660753,0.11470329,0.087367766,0.097128801,0.095287643,0.109621234,0.097182058,0.139140204,0.127344996,0.117958561,0.111375786,0.127344996,0.124274328,0.097182058,0.146179587,0.11304906,0.106232539,0.114703491,0.141983375,0.119560786,0.116339639,0.131854236,0.127345055
